Sample type,Days after inoculation,Date,Licor,Trial,Treatment,Species,Plant Number,Isolate Number,Unique Sample Number,Obs,Conductance,Ci
1WetIndigenous Pathogen 2,22,6/21/2018,6400,1,Wet,Indigenous Pathogen ,2,1,46,1,0.069371648,196.9585036
1WetIndigenous Pathogen 2,22,6/21/2018,6400,1,Wet,Indigenous Pathogen ,2,1,46,2,0.053514893,145.3713277
1WetIndigenous Pathogen 2,22,6/21/2018,6400,1,Wet,Indigenous Pathogen ,2,1,46,3,0.065170246,201.2178143
1WetIndigenous Pathogen 2,22,6/21/2018,6400,1,Wet,Indigenous Pathogen ,2,1,46,4,0.060777544,145.3752968
1WetIndigenous Pathogen 2,22,6/21/2018,6400,1,Wet,Indigenous Pathogen ,2,1,46,5,0.060834382,159.0697756
1WetIndigenous Pathogen 2,22,6/21/2018,6400,1,Wet,Indigenous Pathogen ,2,1,46,6,0.057451523,158.0698113
1WetIndigenous Pathogen 2,22,6/21/2018,6400,1,Wet,Indigenous Pathogen ,2,1,46,7,0.058476745,120.6326856
1WetIndigenous Pathogen 2,22,6/21/2018,6400,1,Wet,Indigenous Pathogen ,2,1,46,8,0.064310245,168.5737415
1WetIndigenous Pathogen 2,22,6/21/2018,6400,1,Wet,Indigenous Pathogen ,2,1,46,9,0.063942323,166.1629148
1WetIndigenous Pathogen 2,22,6/21/2018,6400,1,Wet,Indigenous Pathogen ,2,1,46,10,0.055488589,142.9419849
1WetIndigenous Pathogen 2,22,6/21/2018,6400,1,Wet,Indigenous Pathogen ,2,1,46,11,0.058169863,158.8414753
1DroughtIndigenous Pathogen 1,22,6/21/2018,6400,1,Drought,Indigenous Pathogen ,1,1,49,1,0.004572983,384.1539536
1DroughtIndigenous Pathogen 1,22,6/21/2018,6400,1,Drought,Indigenous Pathogen ,1,1,49,2,0.004483872,183.6812218
1DroughtIndigenous Pathogen 1,22,6/21/2018,6400,1,Drought,Indigenous Pathogen ,1,1,49,3,0.004440964,199.1479693
1DroughtIndigenous Pathogen 1,22,6/21/2018,6400,1,Drought,Indigenous Pathogen ,1,1,49,4,0.005150346,281.7966746
1DroughtIndigenous Pathogen 1,22,6/21/2018,6400,1,Drought,Indigenous Pathogen ,1,1,49,5,0.00509714,313.958924
1DroughtIndigenous Pathogen 1,22,6/21/2018,6400,1,Drought,Indigenous Pathogen ,1,1,49,6,0.005018097,125.5370441
1DroughtIndigenous Pathogen 1,22,6/21/2018,6400,1,Drought,Indigenous Pathogen ,1,1,49,7,0.005068311,328.1290955
1DroughtIndigenous Pathogen 1,22,6/21/2018,6400,1,Drought,Indigenous Pathogen ,1,1,49,8,0.00517024,86.1141792
1DroughtIndigenous Pathogen 1,22,6/21/2018,6400,1,Drought,Indigenous Pathogen ,1,1,49,9,0.005330265,253.6368612
1DroughtIndigenous Pathogen 1,22,6/21/2018,6400,1,Drought,Indigenous Pathogen ,1,1,49,10,0.005360327,267.2130633
1DroughtIndigenous Pathogen 1,22,6/21/2018,6400,1,Drought,Indigenous Pathogen ,1,1,49,11,0.005504061,234.2075023
1DroughtIndigenous Pathogen 1,22,6/21/2018,6400,1,Drought,Indigenous Pathogen ,1,1,49,12,0.005776816,218.8972012
2WetExotic Pathogen 1,35,7/4/2018,6400,2,Wet,Exotic Pathogen ,1,1,53,1,0.002646448,309.7807071
2WetExotic Pathogen 1,35,7/4/2018,6400,2,Wet,Exotic Pathogen ,1,1,53,2,0.002548624,298.929693
2WetExotic Pathogen 1,35,7/4/2018,6400,2,Wet,Exotic Pathogen ,1,1,53,3,0.00302681,516.2996446
2WetExotic Pathogen 1,35,7/4/2018,6400,2,Wet,Exotic Pathogen ,1,1,53,4,0.003165141,140.0384228
2WetExotic Pathogen 1,35,7/4/2018,6400,2,Wet,Exotic Pathogen ,1,1,53,5,0.003281323,180.7872279
2WetExotic Pathogen 1,35,7/4/2018,6400,2,Wet,Exotic Pathogen ,1,1,53,6,0.003217194,273.6653334
2WetExotic Pathogen 1,35,7/4/2018,6400,2,Wet,Exotic Pathogen ,1,1,53,7,0.00323642,393.076445
2WetExotic Pathogen 1,35,7/4/2018,6400,2,Wet,Exotic Pathogen ,1,1,53,8,0.003219908,442.0839825
2WetExotic Pathogen 1,35,7/4/2018,6400,2,Wet,Exotic Pathogen ,1,1,53,9,0.003332243,241.4853329
2WetExotic Pathogen 1,35,7/4/2018,6400,2,Wet,Exotic Pathogen ,1,1,53,10,0.002837899,279.7332107
2WetExotic Pathogen 1,35,7/4/2018,6400,2,Wet,Exotic Pathogen ,1,1,53,11,0.003088827,300.6997683
2WetExotic Pathogen 1,35,7/4/2018,6400,2,Wet,Exotic Pathogen ,1,1,53,12,0.003051967,315.2754992
2WetExotic Pathogen 1,35,7/4/2018,6400,2,Wet,Exotic Pathogen ,1,1,53,13,0.003309638,557.5985469
2DroughtIndigenous Pathogen 2,35,7/4/2018,6400,2,Drought,Indigenous Pathogen ,2,1,62,1,0.006038525,292.1521931
2DroughtIndigenous Pathogen 2,35,7/4/2018,6400,2,Drought,Indigenous Pathogen ,2,1,62,2,0.005660775,320.3408115
2DroughtIndigenous Pathogen 2,35,7/4/2018,6400,2,Drought,Indigenous Pathogen ,2,1,62,3,0.005495772,129.1690267
2DroughtIndigenous Pathogen 2,35,7/4/2018,6400,2,Drought,Indigenous Pathogen ,2,1,62,4,0.005255092,284.9744082
2DroughtIndigenous Pathogen 2,35,7/4/2018,6400,2,Drought,Indigenous Pathogen ,2,1,62,5,0.003933837,240.3923095
2DroughtIndigenous Pathogen 2,35,7/4/2018,6400,2,Drought,Indigenous Pathogen ,2,1,62,6,0.003182766,101.2406768
2DroughtIndigenous Pathogen 2,35,7/4/2018,6400,2,Drought,Indigenous Pathogen ,2,1,62,7,0.002647992,182.0711169
2DroughtIndigenous Pathogen 2,35,7/4/2018,6400,2,Drought,Indigenous Pathogen ,2,1,62,8,0.002402948,-327.8671176
2DroughtIndigenous Pathogen 2,35,7/4/2018,6400,2,Drought,Indigenous Pathogen ,2,1,62,9,0.003349729,173.6061891
2DroughtIndigenous Pathogen 2,35,7/4/2018,6400,2,Drought,Indigenous Pathogen ,2,1,62,10,0.003277338,75.30083733
2DroughtIndigenous Pathogen 2,35,7/4/2018,6400,2,Drought,Indigenous Pathogen ,2,1,62,11,0.003210684,74.17860168
2DroughtIndigenous Pathogen 2,35,7/4/2018,6400,2,Drought,Indigenous Pathogen ,2,1,62,12,0.003777493,215.5988001
2DroughtExotic Pathogen 1,35,7/4/2018,6400,2,Drought,Exotic Pathogen ,1,1,64,1,0.008288888,204.3429092
2DroughtExotic Pathogen 1,35,7/4/2018,6400,2,Drought,Exotic Pathogen ,1,1,64,2,0.00817029,117.7868995
2DroughtExotic Pathogen 1,35,7/4/2018,6400,2,Drought,Exotic Pathogen ,1,1,64,3,0.008633383,-112.7126269
2DroughtExotic Pathogen 1,35,7/4/2018,6400,2,Drought,Exotic Pathogen ,1,1,64,4,0.008572456,113.2062777
2DroughtExotic Pathogen 1,35,7/4/2018,6400,2,Drought,Exotic Pathogen ,1,1,64,5,0.008406329,125.8361726
2DroughtExotic Pathogen 1,35,7/4/2018,6400,2,Drought,Exotic Pathogen ,1,1,64,6,0.008448897,86.54055123
2DroughtExotic Pathogen 1,35,7/4/2018,6400,2,Drought,Exotic Pathogen ,1,1,64,7,0.008312849,148.4827754
2DroughtExotic Pathogen 1,35,7/4/2018,6400,2,Drought,Exotic Pathogen ,1,1,64,8,0.008386955,195.4972562
2DroughtExotic Pathogen 1,35,7/4/2018,6400,2,Drought,Exotic Pathogen ,1,1,64,9,0.008105634,41.26305319
2DroughtExotic Pathogen 1,35,7/4/2018,6400,2,Drought,Exotic Pathogen ,1,1,64,10,0.008443499,144.2239117
2DroughtExotic Pathogen 1,35,7/4/2018,6400,2,Drought,Exotic Pathogen ,1,1,64,11,0.007944898,269.777973
1WetIndigenous Pathogen 1,37,7/6/2018,6800,1,Wet,Indigenous Pathogen ,1,1,69,1,0.008127613,357.0704971
1WetIndigenous Pathogen 1,37,7/6/2018,6800,1,Wet,Indigenous Pathogen ,1,1,69,2,0.007430751,357.8109388
1WetIndigenous Pathogen 1,37,7/6/2018,6800,1,Wet,Indigenous Pathogen ,1,1,69,3,0.007125602,356.4318974
1WetIndigenous Pathogen 1,37,7/6/2018,6800,1,Wet,Indigenous Pathogen ,1,1,69,4,0.006970297,347.8096208
1WetIndigenous Pathogen 1,37,7/6/2018,6800,1,Wet,Indigenous Pathogen ,1,1,69,5,0.006677263,346.9503667
1WetIndigenous Pathogen 1,37,7/6/2018,6800,1,Wet,Indigenous Pathogen ,1,1,69,6,0.006511358,341.5219296
1WetIndigenous Pathogen 1,37,7/6/2018,6800,1,Wet,Indigenous Pathogen ,1,1,69,7,0.006370424,339.2109278
1WetIndigenous Pathogen 1,37,7/6/2018,6800,1,Wet,Indigenous Pathogen ,1,1,69,8,0.00617158,336.0679527
1WetIndigenous Pathogen 1,37,7/6/2018,6800,1,Wet,Indigenous Pathogen ,1,1,69,9,0.006046839,332.2868851
1WetIndigenous Pathogen 1,37,7/6/2018,6800,1,Wet,Indigenous Pathogen ,1,1,69,10,0.005989301,319.3415711
1WetIndigenous Pathogen 1,37,7/6/2018,6800,1,Wet,Indigenous Pathogen ,1,1,69,11,0.005859543,312.2692396
1DroughtIndigenous Pathogen 2,37,7/6/2018,6800,1,Drought,Indigenous Pathogen ,2,1,80,1,0.002624114,370.601502
1DroughtIndigenous Pathogen 2,37,7/6/2018,6800,1,Drought,Indigenous Pathogen ,2,1,80,2,0.000480313,251.2081103
1DroughtIndigenous Pathogen 2,37,7/6/2018,6800,1,Drought,Indigenous Pathogen ,2,1,80,3,0.001772951,328.0122005
1DroughtIndigenous Pathogen 2,37,7/6/2018,6800,1,Drought,Indigenous Pathogen ,2,1,80,4,0.002062239,347.8879295
1DroughtIndigenous Pathogen 2,37,7/6/2018,6800,1,Drought,Indigenous Pathogen ,2,1,80,5,0.002634664,344.9115834
1DroughtIndigenous Pathogen 2,37,7/6/2018,6800,1,Drought,Indigenous Pathogen ,2,1,80,6,0.002468711,354.1435015
1DroughtIndigenous Pathogen 2,37,7/6/2018,6800,1,Drought,Indigenous Pathogen ,2,1,80,7,0.002116811,347.8789991
1DroughtIndigenous Pathogen 2,37,7/6/2018,6800,1,Drought,Indigenous Pathogen ,2,1,80,8,0.003592803,368.8648874
1DroughtIndigenous Pathogen 2,37,7/6/2018,6800,1,Drought,Indigenous Pathogen ,2,1,80,9,0.002480521,357.6730562
1DroughtIndigenous Pathogen 2,37,7/6/2018,6800,1,Drought,Indigenous Pathogen ,2,1,80,10,0.001429738,326.2959872
1WetIndigenous Pathogen 2,35,7/4/2018,6800,1,Wet,Indigenous Pathogen ,2,1,91,1,0.103788071,254.07354
1WetIndigenous Pathogen 2,35,7/4/2018,6800,1,Wet,Indigenous Pathogen ,2,1,91,2,0.103730621,252.5045513
1WetIndigenous Pathogen 2,35,7/4/2018,6800,1,Wet,Indigenous Pathogen ,2,1,91,3,0.105274769,253.5946486
1WetIndigenous Pathogen 2,35,7/4/2018,6800,1,Wet,Indigenous Pathogen ,2,1,91,4,0.101886072,248.7770945
1WetIndigenous Pathogen 2,35,7/4/2018,6800,1,Wet,Indigenous Pathogen ,2,1,91,5,0.103105362,249.4798334
1WetIndigenous Pathogen 2,35,7/4/2018,6800,1,Wet,Indigenous Pathogen ,2,1,91,6,0.108180466,255.1539176
1WetIndigenous Pathogen 2,35,7/4/2018,6800,1,Wet,Indigenous Pathogen ,2,1,91,7,0.111658292,258.6801713
1WetIndigenous Pathogen 2,35,7/4/2018,6800,1,Wet,Indigenous Pathogen ,2,1,91,8,0.104038932,249.6282916
1WetIndigenous Pathogen 2,35,7/4/2018,6800,1,Wet,Indigenous Pathogen ,2,1,91,9,0.106381438,251.4359666
1WetIndigenous Pathogen 2,35,7/4/2018,6800,1,Wet,Indigenous Pathogen ,2,1,91,10,0.109840002,256.1233704
1WetIndigenous Pathogen 2,35,7/4/2018,6800,1,Wet,Indigenous Pathogen ,2,1,91,11,0.109749715,255.5387919
1WetExotic Pathogen 1,22,6/21/2018,6800,1,Wet,Exotic Pathogen ,1,1,104,1,0.001506896,367.711372
1WetExotic Pathogen 1,22,6/21/2018,6800,1,Wet,Exotic Pathogen ,1,1,104,2,-0.000897908,465.5047414
1WetExotic Pathogen 1,22,6/21/2018,6800,1,Wet,Exotic Pathogen ,1,1,104,3,0.001523255,391.8801437
1WetExotic Pathogen 1,22,6/21/2018,6800,1,Wet,Exotic Pathogen ,1,1,104,4,0.001726917,386.4249241
1WetExotic Pathogen 1,22,6/21/2018,6800,1,Wet,Exotic Pathogen ,1,1,104,5,0.0014042,379.3710973
1WetExotic Pathogen 1,22,6/21/2018,6800,1,Wet,Exotic Pathogen ,1,1,104,6,0.001229478,382.3872925
1WetExotic Pathogen 1,22,6/21/2018,6800,1,Wet,Exotic Pathogen ,1,1,104,7,0.002285707,393.9801386
1WetExotic Pathogen 1,22,6/21/2018,6800,1,Wet,Exotic Pathogen ,1,1,104,8,0.002103901,391.2853928
1WetExotic Pathogen 1,22,6/21/2018,6800,1,Wet,Exotic Pathogen ,1,1,104,9,0.002220919,390.1077252
1WetExotic Pathogen 1,22,6/21/2018,6800,1,Wet,Exotic Pathogen ,1,1,104,10,0.002189405,400.3845626
1WetExotic Pathogen 1,22,6/21/2018,6800,1,Wet,Exotic Pathogen ,1,1,104,11,0.001743354,391.8821623
1DroughtExotic Pathogen 1,22,6/21/2018,6800,1,Drought,Exotic Pathogen ,1,1,108,1,0.001454307,333.0106086
1DroughtExotic Pathogen 1,22,6/21/2018,6800,1,Drought,Exotic Pathogen ,1,1,108,2,0.001402034,317.4725069
1DroughtExotic Pathogen 1,22,6/21/2018,6800,1,Drought,Exotic Pathogen ,1,1,108,3,0.001876398,351.2379872
1DroughtExotic Pathogen 1,22,6/21/2018,6800,1,Drought,Exotic Pathogen ,1,1,108,4,-0.000732717,570.787394
1DroughtExotic Pathogen 1,22,6/21/2018,6800,1,Drought,Exotic Pathogen ,1,1,108,5,0.001324203,339.2450409
1DroughtExotic Pathogen 1,22,6/21/2018,6800,1,Drought,Exotic Pathogen ,1,1,108,6,0.001483763,336.8863847
1DroughtExotic Pathogen 1,22,6/21/2018,6800,1,Drought,Exotic Pathogen ,1,1,108,7,0.001671159,358.1483085
1DroughtExotic Pathogen 1,22,6/21/2018,6800,1,Drought,Exotic Pathogen ,1,1,108,8,0.001287559,342.8631084
1DroughtExotic Pathogen 1,22,6/21/2018,6800,1,Drought,Exotic Pathogen ,1,1,108,9,0.001062484,323.2367862
1DroughtExotic Pathogen 1,22,6/21/2018,6800,1,Drought,Exotic Pathogen ,1,1,108,10,0.001401435,351.7759952
1DroughtExotic Pathogen 1,22,6/21/2018,6800,1,Drought,Exotic Pathogen ,1,1,108,11,0.000943159,315.2931729
1DroughtIndigenous Pathogen 1,17,6/16/2018,6800,1,Drought,Indigenous Pathogen ,1,1,116,1,0.003559033,231.1740939
1DroughtIndigenous Pathogen 1,17,6/16/2018,6800,1,Drought,Indigenous Pathogen ,1,1,116,2,0.003528366,196.6384273
1DroughtIndigenous Pathogen 1,17,6/16/2018,6800,1,Drought,Indigenous Pathogen ,1,1,116,3,0.003146543,141.491499
1DroughtIndigenous Pathogen 1,17,6/16/2018,6800,1,Drought,Indigenous Pathogen ,1,1,116,4,0.004374931,189.2656881
1DroughtIndigenous Pathogen 1,17,6/16/2018,6800,1,Drought,Indigenous Pathogen ,1,1,116,5,0.004395685,173.7121355
1DroughtIndigenous Pathogen 1,17,6/16/2018,6800,1,Drought,Indigenous Pathogen ,1,1,116,6,0.004904955,188.5454761
1DroughtIndigenous Pathogen 1,17,6/16/2018,6800,1,Drought,Indigenous Pathogen ,1,1,116,7,0.005417557,192.4930292
1DroughtIndigenous Pathogen 1,17,6/16/2018,6800,1,Drought,Indigenous Pathogen ,1,1,116,8,0.00521787,177.2877001
1DroughtIndigenous Pathogen 1,17,6/16/2018,6800,1,Drought,Indigenous Pathogen ,1,1,116,9,0.00581531,186.8295469
1DroughtIndigenous Pathogen 1,17,6/16/2018,6800,1,Drought,Indigenous Pathogen ,1,1,116,10,0.005086506,151.8652917
1DroughtIndigenous Pathogen 1,17,6/16/2018,6800,1,Drought,Indigenous Pathogen ,1,1,116,11,0.005197517,150.6127609
1DroughtExotic Pathogen 2,17,6/16/2018,6800,1,Drought,Exotic Pathogen ,2,1,121,1,0.002457061,341.5123473
1DroughtExotic Pathogen 2,17,6/16/2018,6800,1,Drought,Exotic Pathogen ,2,1,121,2,0.003401085,350.2835948
1DroughtExotic Pathogen 2,17,6/16/2018,6800,1,Drought,Exotic Pathogen ,2,1,121,3,0.002714944,352.4252476
1DroughtExotic Pathogen 2,17,6/16/2018,6800,1,Drought,Exotic Pathogen ,2,1,121,4,0.001178025,296.4562676
1DroughtExotic Pathogen 2,17,6/16/2018,6800,1,Drought,Exotic Pathogen ,2,1,121,5,0.003086445,352.3635825
1DroughtExotic Pathogen 2,17,6/16/2018,6800,1,Drought,Exotic Pathogen ,2,1,121,6,0.002652045,350.7577542
1DroughtExotic Pathogen 2,17,6/16/2018,6800,1,Drought,Exotic Pathogen ,2,1,121,7,0.002039054,328.1475653
1DroughtExotic Pathogen 2,17,6/16/2018,6800,1,Drought,Exotic Pathogen ,2,1,121,8,0.002877677,349.1475921
1DroughtExotic Pathogen 2,17,6/16/2018,6800,1,Drought,Exotic Pathogen ,2,1,121,9,0.00234922,338.5139781
1DroughtExotic Pathogen 2,17,6/16/2018,6800,1,Drought,Exotic Pathogen ,2,1,121,10,0.002615231,359.2004574
1DroughtExotic Pathogen 2,13,6/12/2018,6800,1,Drought,Exotic Pathogen ,2,1,124,1,0.007986861,184.5208437
1DroughtExotic Pathogen 2,13,6/12/2018,6800,1,Drought,Exotic Pathogen ,2,1,124,2,0.007997439,185.1535114
1DroughtExotic Pathogen 2,13,6/12/2018,6800,1,Drought,Exotic Pathogen ,2,1,124,3,0.007008891,147.7643226
1DroughtExotic Pathogen 2,13,6/12/2018,6800,1,Drought,Exotic Pathogen ,2,1,124,4,0.007024747,151.7854525
1DroughtExotic Pathogen 2,13,6/12/2018,6800,1,Drought,Exotic Pathogen ,2,1,124,5,0.007759307,176.2006133
1DroughtExotic Pathogen 2,13,6/12/2018,6800,1,Drought,Exotic Pathogen ,2,1,124,6,0.008371075,190.7445426
1DroughtExotic Pathogen 2,13,6/12/2018,6800,1,Drought,Exotic Pathogen ,2,1,124,7,0.008288044,191.8834051
1DroughtExotic Pathogen 2,13,6/12/2018,6800,1,Drought,Exotic Pathogen ,2,1,124,8,0.008055147,185.0632237
1DroughtExotic Pathogen 2,13,6/12/2018,6800,1,Drought,Exotic Pathogen ,2,1,124,9,0.006505945,130.6931167
1DroughtExotic Pathogen 2,13,6/12/2018,6800,1,Drought,Exotic Pathogen ,2,1,124,10,0.007376695,165.0525278
2DroughtIndigenous Pathogen 2,13,6/12/2018,6800,2,Drought,Indigenous Pathogen ,2,1,125,1,0.006605479,199.419241
2DroughtIndigenous Pathogen 2,13,6/12/2018,6800,2,Drought,Indigenous Pathogen ,2,1,125,2,0.006901944,206.544227
2DroughtIndigenous Pathogen 2,13,6/12/2018,6800,2,Drought,Indigenous Pathogen ,2,1,125,3,0.005177459,142.4492664
2DroughtIndigenous Pathogen 2,13,6/12/2018,6800,2,Drought,Indigenous Pathogen ,2,1,125,4,0.005659968,163.8847417
2DroughtIndigenous Pathogen 2,13,6/12/2018,6800,2,Drought,Indigenous Pathogen ,2,1,125,5,0.006166896,181.9698905
2DroughtIndigenous Pathogen 2,13,6/12/2018,6800,2,Drought,Indigenous Pathogen ,2,1,125,6,0.006210048,184.076098
2DroughtIndigenous Pathogen 2,13,6/12/2018,6800,2,Drought,Indigenous Pathogen ,2,1,125,7,0.005317344,156.1012713
2DroughtIndigenous Pathogen 2,13,6/12/2018,6800,2,Drought,Indigenous Pathogen ,2,1,125,8,0.006193136,189.3148787
2DroughtIndigenous Pathogen 2,13,6/12/2018,6800,2,Drought,Indigenous Pathogen ,2,1,125,9,0.00582695,180.6824542
2DroughtIndigenous Pathogen 2,13,6/12/2018,6800,2,Drought,Indigenous Pathogen ,2,1,125,10,0.006079734,189.0157971
2WetIndigenous Pathogen 2,13,6/12/2018,6800,2,Wet,Indigenous Pathogen ,2,1,127,1,0.023361597,195.7715384
2WetIndigenous Pathogen 2,13,6/12/2018,6800,2,Wet,Indigenous Pathogen ,2,1,127,2,0.024119673,198.2202956
2WetIndigenous Pathogen 2,13,6/12/2018,6800,2,Wet,Indigenous Pathogen ,2,1,127,3,0.026154889,206.7632021
2WetIndigenous Pathogen 2,13,6/12/2018,6800,2,Wet,Indigenous Pathogen ,2,1,127,4,0.026151871,204.0425561
2WetIndigenous Pathogen 2,13,6/12/2018,6800,2,Wet,Indigenous Pathogen ,2,1,127,5,0.028588712,214.2110909
2WetIndigenous Pathogen 2,13,6/12/2018,6800,2,Wet,Indigenous Pathogen ,2,1,127,6,0.027955964,204.6981893
2WetIndigenous Pathogen 2,13,6/12/2018,6800,2,Wet,Indigenous Pathogen ,2,1,127,7,0.029067536,207.583382
2WetIndigenous Pathogen 2,13,6/12/2018,6800,2,Wet,Indigenous Pathogen ,2,1,127,8,0.029721443,209.4106449
2WetIndigenous Pathogen 2,13,6/12/2018,6800,2,Wet,Indigenous Pathogen ,2,1,127,9,0.031831762,214.5818902
2WetIndigenous Pathogen 2,13,6/12/2018,6800,2,Wet,Indigenous Pathogen ,2,1,127,10,0.032159113,203.1733531
1DroughtExotic Pathogen 1,9,6/8/2018,6800,1,Drought,Exotic Pathogen ,1,1,140,1,0.004774378,253.5720294
1DroughtExotic Pathogen 1,9,6/8/2018,6800,1,Drought,Exotic Pathogen ,1,1,140,2,0.00462469,249.1171193
1DroughtExotic Pathogen 1,9,6/8/2018,6800,1,Drought,Exotic Pathogen ,1,1,140,3,0.004379079,245.0270757
1DroughtExotic Pathogen 1,9,6/8/2018,6800,1,Drought,Exotic Pathogen ,1,1,140,4,0.004561852,252.5351576
1DroughtExotic Pathogen 1,9,6/8/2018,6800,1,Drought,Exotic Pathogen ,1,1,140,5,0.004418068,241.1285343
1DroughtExotic Pathogen 1,9,6/8/2018,6800,1,Drought,Exotic Pathogen ,1,1,140,6,0.004956017,260.3781339
1DroughtExotic Pathogen 1,9,6/8/2018,6800,1,Drought,Exotic Pathogen ,1,1,140,7,0.00495406,256.9023789
1DroughtExotic Pathogen 1,9,6/8/2018,6800,1,Drought,Exotic Pathogen ,1,1,140,8,0.004548498,233.7655739
1DroughtExotic Pathogen 1,9,6/8/2018,6800,1,Drought,Exotic Pathogen ,1,1,140,9,0.005035667,243.0384755
1DroughtExotic Pathogen 1,9,6/8/2018,6800,1,Drought,Exotic Pathogen ,1,1,140,10,0.00427637,219.6855493
2WetExotic Pathogen 1,9,6/8/2018,6800,2,Wet,Exotic Pathogen ,1,1,143,1,0.079530652,297.4671112
2WetExotic Pathogen 1,9,6/8/2018,6800,2,Wet,Exotic Pathogen ,1,1,143,2,0.07832896,295.4771652
2WetExotic Pathogen 1,9,6/8/2018,6800,2,Wet,Exotic Pathogen ,1,1,143,3,0.080328306,297.3256346
2WetExotic Pathogen 1,9,6/8/2018,6800,2,Wet,Exotic Pathogen ,1,1,143,4,0.084114535,301.8381943
2WetExotic Pathogen 1,9,6/8/2018,6800,2,Wet,Exotic Pathogen ,1,1,143,5,0.083874172,301.5198947
2WetExotic Pathogen 1,9,6/8/2018,6800,2,Wet,Exotic Pathogen ,1,1,143,6,0.084722289,302.1645391
